prado_application_singleton_required	= Prado.Application只能被设置一次。
prado_component_unknown					= 未知组件类型“{0}”。这有可能是因为{0}类文件里有如下错误：{1}
prado_using_invalid						= “{0}”不是一个合法的命名空间。如果命名空间指向一个目录，请确认命名空间以“.*”结尾。
prado_alias_redefined					= 路径别名“{0}”不能被重定义。
prado_alias_invalid						= 路径别名“{0}”所指的文件目录{1}不存在。
prado_aliasname_invalid					= 路径别名“{0}”不允许包含“.”字符。

component_property_undefined			= 组件属性“{0}.{1}”未定义。
component_property_readonly				= 组件属性“{0}.{1}”是只读的。
component_event_undefined				= 组件事件“{0}.{1}”未定义。
component_eventhandler_invalid			= 组件事件“{0}.{1}”所指事件响应函数“{2}”非法。
component_expression_invalid			= 组件{0}执行了一个非法的表达式“{1}”：{2}
component_statements_invalid			= 组件{0}执行了一段非法的PHP代码“{1}”：{2}

propertyvalue_enumvalue_invalid			= 枚举类型“{1}”不存在枚举值“{0}”。

list_index_invalid						= 列表下标“{0}”越界。
list_item_inexistent					= 无法在列表里找到要找的项目。
list_data_not_iterable					= 所传参数必须是一个数组或是一个实现Traversable接口的对象。
list_readonly							= 列表“{0}”是只读的。

map_addition_disallowed					= Map无法添加新项目。
map_item_unremovable					= Map无法删除项目。
map_data_not_iterable					= Map数据必须是个数组或是实现Traversable接口的对象。
map_readonly							= Map类型“{0}”是只读的。

application_includefile_invalid			= 无法找到应用配置文件“{0}”。注意，配置文件应该以命名空间的形式指定；文件名必须以.xml结尾。
application_basepath_invalid			= 应用的基本路径“{0}”不存在或不是一个目录。
application_runtimepath_invalid			= 应用的runtime路径“{0}”不存在，或Web服务进程无法写入该目录。
application_service_invalid				= 服务“{0}”必须实现IService接口。
application_service_unknown				= 请求的服务“{0}”未定义。
application_unavailable					= 应用暂时不可用。
application_service_unavailable			= 服务“{0}”暂时不可用。
application_moduleid_duplicated			= 应用模块的ID “{0}”不唯一。
application_runtimepath_failed			= 无法创建runtime路径“{0}”。请确认父目录是否存在，是否可被Web服务进程写入。

appconfig_aliaspath_invalid				= 应用配置<alias id="{0}">使用了一个非法的文件目录“{1}”。
appconfig_alias_invalid					= 应用配置<alias>元素必须指定“id”和“path”属性。
appconfig_alias_redefined				= 应用配置<alias id="{0}">不允许重复定义。
appconfig_using_invalid					= 应用配置<using>元素必须指定“namespace”属性。
appconfig_moduleid_required				= 应用配置<module>元素必须指定“id”属性。
appconfig_moduletype_required			= 应用配置<module id="{0}">元素必须指定“class”属性。
appconfig_serviceid_required			= 应用配置<service>元素必须指定“id”属性。
appconfig_servicetype_required			= 应用配置<service id="{0}">元素必须指定“class”属性。
appconfig_parameterid_required			= 应用配置<parameter>元素必须指定“id”属性。
appconfig_includefile_required			= 应用配置<include>元素必须指定“file”属性。
appconfig_paths_invalid					= 应用配置<paths>不允许包含<{0}>元素。
appconfig_modules_invalid				= 应用配置<modules>不允许包含<{0}>元素。
appconfig_services_invalid				= 应用配置<services>不允许包含<{0}>元素。
appconfig_parameters_invalid			= 应用配置<parameters>不允许包含<{0}>元素。
appconfig_tag_invalid					= 应用配置不允许包含<{0}>元素。

securitymanager_validationkey_invalid	= TSecurityManager.ValidationKey不能为空。
securitymanager_encryptionkey_invalid	= TSecurityManager.EncryptionKey不能为空。
securitymanager_mcryptextension_required = TSecurityManager的加密功能需要使用Mcrypt的PHP扩展模块。

uri_format_invalid						= “{0}”不是一个合法的URI。

httprequest_separator_invalid			= THttpRequest.UrlParamSeparator只能包含一个字符。
httprequest_urlmanager_inexist			= THttpRequest.UrlManager “{0}”所指的模块不存在。
httprequest_urlmanager_invalid			= THttpRequest.UrlManager “{0}”所指的模块必须继承TUrlManager。

httpcookiecollection_httpcookie_required = THttpCookieCollection只能包含THttpCookie对象。

httpresponse_bufferoutput_unchangeable	= THttpResponse.BufferOutput无法被修改，因为THttpResponse已经初始化完毕。
httpresponse_file_inexistent			= THttpResponse无法发送文件“{0}”。该文件不存在。

httpsession_sessionid_unchangeable		= THttpSession.SessionID无法被修改，因为session已经启动了。
httpsession_sessionname_unchangeable	= THttpSession.SessionName无法被修改，因为session已经启动了。
httpsession_sessionname_invalid			= THttpSession.SessionName只能包含字母或数字字符。
httpsession_savepath_unchangeable		= THttpSession.SavePath无法被修改，因为session已经启动了。
httpsession_savepath_invalid			= THttpSession.SavePath所指目录“{0}”不存在。
httpsession_storage_unchangeable		= THttpSession.Storage无法被修改，因为session已经启动了。
httpsession_cookiemode_unchangeable		= THttpSession.CookieMode无法被修改，因为session已经启动了。
httpsession_autostart_unchangeable		= THttpSession.AutoStart无法被修改，因为session已经启动了。
httpsession_gcprobability_unchangeable	= THttpSession.GCProbability无法被修改，因为session已经启动了。
httpsession_gcprobability_invalid		= THttpSession.GCProbability必须是个0到100之间的整数。
httpsession_transid_unchangeable		= THttpSession.UseTransparentSessionID无法被修改，因为session已经启动了。
httpsession_transid_cookieonly			= THttpSession.UseTransparentSessionID cannot be set when THttpSession.CookieMode is set to Only.
httpsession_maxlifetime_unchangeable	= THttpSession.Timeout无法被修改，因为session已经启动了。

assetmanager_basepath_invalid			= TAssetManager.BasePath所指路径“{0}”非法。请确认它以命名空间方式指定，并且它所对应的文件目录可以被Web服务器进程写入。
assetmanager_basepath_unchangeable		= TAssetManager.BasePath无法被修改，因为该模块已经初始化完毕。
assetmanager_baseurl_unchangeable		= TAssetManager.BaseUrl无法被修改，因为该模块已经初始化完毕。
assetmanager_filepath_invalid			= TAssetManager试图发布一个不存在的文件“{0}”。
assetmanager_tarchecksum_invalid		= TAssetManager试图发布一个校验值不正确的tar文件。
assetmanager_tarfile_invalid			= TAssetManager试图发布一个不存在的tar文件“{0}”。
assetmanager_source_directory_invalid	= TAssetManager试图复制一个不存在的文件目录“{0}”。

cache_primary_duplicated				= 一个应用最多只能指定一个主缓存模块。模块“{0}”正在被注册为第二个主缓存模块。
sqlitecache_extension_required			= TSqliteCache需要SQLite PHP扩展模块。
sqlitecache_dbfile_required				= TSqliteCache.DbFile必须指定一个值。
sqlitecache_connection_failed			= TSqliteCache连接数据库失败：{0}
sqlitecache_table_creation_failed		= TSqliteCache无法创建缓存数据库：{0}
sqlitecache_dbfile_unchangeable			= TSqliteCache.DbFile无法被修改，因为该模块已经初始化完毕。
sqlitecache_dbfile_invalid				= TSqliteCache.DbFile所指文件不存在。请确认它以命名空间方式指定。

memcache_extension_required				= TMemCache需要memcache PHP扩展模块。
memcache_connection_failed				= TMemCache连接memcache服务器“{0}”失败：{1}
memcache_host_unchangeable				= TMemCache.Host无法被修改，因为该模块已经初始化完毕。
memcache_port_unchangeable				= TMemCache.Port无法被修改，因为该模块已经初始化完毕。

apccache_extension_required				= TAPCCache需要APC PHP扩展模块。
apccache_add_unsupported				= TAPCCache不支持add()函数。
apccache_replace_unsupported			= TAPCCache不支持replace()函数。
apccache_extension_not_enabled			= TAPCCache需要在php.ini里指定apc.enabled = 1。
apccache_extension_not_enabled_cli		= TAPCCache需要在php.ini里指定apc.enable_cli = 1。

errorhandler_errortemplatepath_invalid	= TErrorHandler.ErrorTemplatePath所指路径“{0}”不存在。请确认它以命名空间的方式指定，并且它指向一个包含错误信息模板的文件目录。

pageservice_page_unknown				= 无法找到页面“{0}”。
pageservice_pageclass_unknown			= 未知页面类“{0}”。
pageservice_basepath_invalid			= TPageService.BasePath所指路径“{0}”不存在。
pageservice_page_required				= 请提供页面名字。
pageservice_defaultpage_unchangeable	= TPageService.DefaultPage无法被修改，因为页面服务已经初始化完毕。
pageservice_basepath_unchangeable		= TPageService.BasePath无法被修改，因为页面服务已经初始化完毕。
pageservice_pageclass_invalid			= 页面类“{0}”必须继承TPage。
pageservice_includefile_invalid			= 无法找到页面服务配置“{0}”。请确认它以命名空间方式指定，并且文件名以“.xml”结尾。

pageserviceconf_file_invalid			= 无法打开页面配置文件“{0}”。
pageserviceconf_aliaspath_invalid		= <alias id="{0}"> uses an invalid file path "{1}" in page directory configuration file '{2}'.
pageserviceconf_alias_invalid			= <alias> element must have an "id" attribute and a "path" attribute in page directory configuration file '{0}'.
pageserviceconf_using_invalid			= <using> element must have a "namespace" attribute in page directory configuration file '{0}'.
pageserviceconf_module_invalid			= <module> element must have an "id" attribute in page directory configuration file '{0}'.
pageserviceconf_moduletype_required		= <module id="{0}"> must have a "class" attribute in page directory configuration file '{1}'.
pageserviceconf_parameter_invalid		= <parameter> element must have an "id" attribute in page directory configuration file '{0}'.
